dataset,task,model,seed,seconds_fit_and_evaluate,best_epoch,epochs_ran,parameters,peak_rss_kib_process,val_macro_f1,val_weighted_f1,val_accuracy,test_macro_f1,test_weighted_f1,test_accuracy
NF-UNSW-NB15-v2,binary,edge_mlp,22,21.27852219699889,23,33,5378,984892,0.9971103061249108,0.997400631859216,0.997401887050458,0.9968203795641332,0.9971203615117328,0.9971217533030482
NF-UNSW-NB15-v2,binary,edge_mlp,33,28.313406379998924,34,44,5378,984892,0.9971859427136368,0.9974688518485144,0.997470258443867,0.9970883342473223,0.9973631287804584,0.9973644970003814
NF-UNSW-NB15-v2,binary,sage,11,106.26745873999973,19,29,86530,984892,0.9980987937481974,0.9982898478633444,0.9982907151647752,0.9978925252103268,0.9980915793134676,0.9980927280923814
NF-UNSW-NB15-v2,binary,sage,22,127.40940483600023,24,34,86530,984892,0.9980987937481974,0.9982898478633444,0.9982907151647752,0.998007431313144,0.9981956535400832,0.998196761105524
NF-UNSW-NB15-v2,binary,sage,33,145.3568740440005,27,37,86530,984892,0.998098977440147,0.9982899308769884,0.9982907151647752,0.9978163022128406,0.9980223700438547,0.998023372750286
NF-UNSW-NB15-v2,binary,sage_edge,11,140.2156784209983,28,38,86608,984892,0.998098977440147,0.9982899308769884,0.9982907151647752,0.998045980679926,0.9982304576272536,0.9982314387765716
NF-UNSW-NB15-v2,binary,sage_edge,22,216.20230012299908,27,37,86608,984892,0.998098977440147,0.9982899308769884,0.9982907151647752,0.99789282374114,0.9980917152916828,0.9980927280923814
NF-UNSW-NB15-v2,binary,sage_edge,33,247.39058304199892,31,41,86608,984892,0.998174930184154,0.9983582938058206,0.998359086558184,0.9979310872057694,0.9981263891413809,0.998127405763429
NF-BoT-IoT-v2,multiclass,edge_mlp,11,83.48448925699995,60,60,5765,1073148,0.940540771479116,0.9409362852908456,0.9409268124167202,0.935981607252094,0.9395044965325458,0.9395256916996048
NF-BoT-IoT-v2,multiclass,edge_mlp,22,75.32157181000002,54,60,5765,1073148,0.937952780475378,0.9377432844966171,0.937521591077333,0.9326239623798942,0.9365263693668928,0.936338932806324
NF-BoT-IoT-v2,multiclass,edge_mlp,33,78.46070529700046,57,60,5765,1073148,0.940922304780816,0.9410115520396712,0.9410255144845284,0.934363732565959,0.9392902239336604,0.9393033596837944
NF-BoT-IoT-v2,multiclass,sage,11,237.5245789620003,37,47,87301,1105708,0.9730000377798922,0.9745095954865955,0.9745348665054532,0.9666076820587324,0.9677092162271864,0.9677124505928854
NF-BoT-IoT-v2,multiclass,sage,22,193.02530171299983,29,39,87301,1105708,0.9681183311217266,0.9717973501759164,0.9718205596407244,0.9585455191778358,0.9628471262099788,0.9628458498023716
NF-BoT-IoT-v2,multiclass,sage,33,114.57604866600012,16,26,87301,1105908,0.9496496978523226,0.9673465571062626,0.9671815624537334,0.9425508770150446,0.9611867296141552,0.9609930830039526
NF-BoT-IoT-v2,multiclass,sage_edge,11,241.3152003569994,45,55,87496,1131096,0.976994070405359,0.9794373364744392,0.9794699698958692,0.9745479579164232,0.9766065142944186,0.9766304347826088
NF-BoT-IoT-v2,multiclass,sage_edge,22,241.77590872200017,39,49,87496,1131096,0.9770013160214472,0.979025504337508,0.979075161624636,0.9742233945351916,0.977342425356009,0.9773962450592886
NF-BoT-IoT-v2,multiclass,sage_edge,33,114.64855105300012,15,25,87496,1131096,0.9685082976059404,0.9734951134513332,0.97354784582737,0.9634393986160594,0.968266662493382,0.968354743083004
NF-BoT-IoT-v2,binary,edge_mlp,11,101.51874091900028,58,60,5378,1131096,0.9945026818641108,0.9959083841289283,0.9959038641859548,0.9932714879361066,0.9949894560087624,0.9949851778656128
NF-BoT-IoT-v2,binary,edge_mlp,22,20.461629464,7,17,5378,1131096,0.9238869519465064,0.944763146399104,0.9462073730444652,0.9236705534647076,0.9446257644205946,0.9461462450592886
NF-BoT-IoT-v2,binary,edge_mlp,33,97.07549146900055,59,60,5378,1131096,0.9944353325124312,0.9958586737519908,0.9958545131520504,0.9932074690543896,0.9949409339031255,0.9949357707509882
NF-BoT-IoT-v2,binary,sage,11,182.59310793999973,29,39,86530,1131096,0.9947655118517292,0.996104791712025,0.9961012683215712,0.991559212561766,0.9937101502746272,0.9937005928853756
NF-BoT-IoT-v2,binary,sage,22,197.2344871429996,25,35,86530,1131096,0.9940394512259264,0.9955634557798476,0.9955584069486256,0.9915201704528483,0.9936832827783948,0.9936758893280632
NF-BoT-IoT-v2,binary,sage,33,139.12904711600095,13,23,86530,1131096,0.9914399243483006,0.9936347859343564,0.9936337166263634,0.9849033687129444,0.9887513363233515,0.9887351778656126
NF-BoT-IoT-v2,binary,sage_edge,11,321.7223714990014,25,35,86608,1131096,0.99417424443798,0.9956629110885398,0.995657109016434,0.9901113306282876,0.9926280138999048,0.9926136363636364
NF-BoT-IoT-v2,binary,sage_edge,22,98.25971362999915,20,30,86608,1131096,0.9938436468213636,0.995416637841048,0.9954103538469132,0.9911766915734576,0.9934195920416724,0.9934041501976284
NF-BoT-IoT-v2,binary,sage_edge,33,101.76348244499968,25,35,86608,1131096,0.993756969288013,0.9953597534440868,0.9953610028130088,0.9902412050011338,0.9927381295113344,0.9927371541501976
NF-ToN-IoT-v2,multiclass,edge_mlp,11,71.70813768400149,60,60,6410,1109568,0.8650292484458724,0.8919917368013514,0.8928297292289775,0.8680053964708236,0.8906531067507836,0.8913374161717438
NF-ToN-IoT-v2,multiclass,edge_mlp,22,76.18588253099915,55,60,6410,1109568,0.8642291718409709,0.8937327078458043,0.8943913607368783,0.8679240171675732,0.893037767271702,0.8935860636764064
NF-ToN-IoT-v2,multiclass,edge_mlp,33,65.7498541040004,50,60,6410,1109568,0.8617059887877824,0.8924525239133436,0.8927767925676927,0.8653280779287282,0.8903938151452111,0.8906363672438196
NF-ToN-IoT-v2,multiclass,sage,11,998.892880579,52,60,88586,1370232,0.9023582102272396,0.911316774379333,0.9116487123157142,0.9074830289609404,0.9089859495377433,0.9089033213846378
NF-ToN-IoT-v2,multiclass,sage,22,1341.8550843420016,30,40,88586,1411792,0.8964901796463799,0.9071068825613616,0.9079960826870648,0.9016753171652718,0.903825913197768,0.9041282522717954
NF-ToN-IoT-v2,multiclass,sage,33,2106.2982655230007,52,60,88586,1437256,0.9049562113240815,0.9166339159617168,0.9177099600328208,0.9110734891773756,0.9131644967232454,0.9136519358209548
NF-ToN-IoT-v2,multiclass,sage_edge,11,940.0619008249996,60,60,88976,1560740,0.904584572373966,0.916475737010728,0.9169159101135492,0.9086033412685928,0.9130299450601158,0.913069932937395
NF-ToN-IoT-v2,multiclass,sage_edge,22,830.6219101140014,41,51,88976,1560740,0.9013077216107404,0.9118948857909768,0.9127603822026944,0.906729154169479,0.9095727261243172,0.90993505376913
NF-ToN-IoT-v2,multiclass,sage_edge,33,950.3596060349992,55,60,88976,1560740,0.9041782253640028,0.914953448556824,0.9161218601942775,0.9101365481066214,0.9133462103847751,0.9139429372627346
